c,z,attribute,y,uni,value
Libya,Libya,CapexInvestmentComponent,2028,Generation,1800617143.584
Libya,Libya,CapexInvestmentComponent,2030,Generation,1875241428.1
Libya,Libya,CapexInvestmentComponent,2032,Generation,1840370000.0
Libya,Libya,CapexInvestmentComponent,2032,StorageEnergy,60775149.284
Libya,Libya,CapexInvestmentComponent,2034,Generation,1819510000.0
Libya,Libya,CapexInvestmentComponent,2034,StorageEnergy,56723472.61
Libya,Libya,CapexInvestmentComponent,2036,Generation,1784638571.9
Libya,Libya,CapexInvestmentComponent,2038,Generation,1228827857.3939998
Libya,Libya,CapexInvestmentComponent,2040,Generation,1108292856.71
Libya,Libya,CapexInvestmentComponent,2042,Generation,64575585.798
Libya,Libya,CapexInvestmentComponentCumulated,2028,Generation,1800617143.584
Libya,Libya,CapexInvestmentComponentCumulated,2030,Generation,3675858571.684
Libya,Libya,CapexInvestmentComponentCumulated,2032,Generation,5516228571.684
Libya,Libya,CapexInvestmentComponentCumulated,2032,StorageEnergy,60775149.284
Libya,Libya,CapexInvestmentComponentCumulated,2034,Generation,7335738571.684
Libya,Libya,CapexInvestmentComponentCumulated,2034,StorageEnergy,117498621.894
Libya,Libya,CapexInvestmentComponentCumulated,2036,Generation,9120377143.584
Libya,Libya,CapexInvestmentComponentCumulated,2038,Generation,10349205000.978
Libya,Libya,CapexInvestmentComponentCumulated,2040,Generation,11457497857.688
Libya,Libya,CapexInvestmentComponentCumulated,2042,Generation,11522073443.486
