c,z,y,q,d,t,value
Libya,Libya,2026,m1,d1,t1,115.72
Libya,Libya,2026,m1,d1,t10,115.72
Libya,Libya,2026,m1,d1,t11,115.72
Libya,Libya,2026,m1,d1,t12,115.72
Libya,Libya,2026,m1,d1,t13,115.72
Libya,Libya,2026,m1,d1,t14,115.72
Libya,Libya,2026,m1,d1,t15,115.72
Libya,Libya,2026,m1,d1,t16,115.72
Libya,Libya,2026,m1,d1,t17,115.72
Libya,Libya,2026,m1,d1,t18,115.72
Libya,Libya,2026,m1,d1,t19,115.72
Libya,Libya,2026,m1,d1,t2,115.72
Libya,Libya,2026,m1,d1,t20,115.72
Libya,Libya,2026,m1,d1,t21,115.72
Libya,Libya,2026,m1,d1,t22,115.72
Libya,Libya,2026,m1,d1,t23,115.72
Libya,Libya,2026,m1,d1,t24,115.72
Libya,Libya,2026,m1,d1,t3,115.72
Libya,Libya,2026,m1,d1,t4,115.72
Libya,Libya,2026,m1,d1,t5,115.72
Libya,Libya,2026,m1,d1,t6,115.72
Libya,Libya,2026,m1,d1,t7,115.72
Libya,Libya,2026,m1,d1,t8,115.72
Libya,Libya,2026,m1,d1,t9,115.72
Libya,Libya,2026,m10,d1,t1,115.72
Libya,Libya,2026,m10,d1,t10,115.72
Libya,Libya,2026,m10,d1,t11,115.72
Libya,Libya,2026,m10,d1,t12,115.72
Libya,Libya,2026,m10,d1,t13,115.72
Libya,Libya,2026,m10,d1,t14,115.72
Libya,Libya,2026,m10,d1,t15,115.72
Libya,Libya,2026,m10,d1,t16,115.72
Libya,Libya,2026,m10,d1,t17,115.72
Libya,Libya,2026,m10,d1,t18,115.72
Libya,Libya,2026,m10,d1,t19,115.72
Libya,Libya,2026,m10,d1,t2,115.72
Libya,Libya,2026,m10,d1,t20,115.72
Libya,Libya,2026,m10,d1,t21,115.72
Libya,Libya,2026,m10,d1,t22,115.72
Libya,Libya,2026,m10,d1,t23,115.72
Libya,Libya,2026,m10,d1,t24,115.72
Libya,Libya,2026,m10,d1,t3,115.72
Libya,Libya,2026,m10,d1,t4,115.72
Libya,Libya,2026,m10,d1,t5,115.72
Libya,Libya,2026,m10,d1,t6,115.72
Libya,Libya,2026,m10,d1,t7,115.72
Libya,Libya,2026,m10,d1,t8,115.72
Libya,Libya,2026,m10,d1,t9,115.72
Libya,Libya,2026,m11,d1,t1,115.72
Libya,Libya,2026,m11,d1,t10,115.72
Libya,Libya,2026,m11,d1,t11,115.72
Libya,Libya,2026,m11,d1,t12,115.72
Libya,Libya,2026,m11,d1,t13,115.72
Libya,Libya,2026,m11,d1,t14,115.72
Libya,Libya,2026,m11,d1,t15,115.72
Libya,Libya,2026,m11,d1,t16,115.72
Libya,Libya,2026,m11,d1,t17,115.72
Libya,Libya,2026,m11,d1,t18,115.72
Libya,Libya,2026,m11,d1,t19,115.72
Libya,Libya,2026,m11,d1,t2,115.72
Libya,Libya,2026,m11,d1,t20,115.72
Libya,Libya,2026,m11,d1,t21,115.72
Libya,Libya,2026,m11,d1,t22,115.72
Libya,Libya,2026,m11,d1,t23,115.72
Libya,Libya,2026,m11,d1,t24,115.72
Libya,Libya,2026,m11,d1,t3,115.72
Libya,Libya,2026,m11,d1,t4,115.72
Libya,Libya,2026,m11,d1,t5,115.72
Libya,Libya,2026,m11,d1,t6,115.72
Libya,Libya,2026,m11,d1,t7,115.72
Libya,Libya,2026,m11,d1,t8,115.72
Libya,Libya,2026,m11,d1,t9,115.72
Libya,Libya,2026,m12,d1,t1,115.72
Libya,Libya,2026,m12,d1,t10,115.72
Libya,Libya,2026,m12,d1,t11,115.72
Libya,Libya,2026,m12,d1,t12,115.72
Libya,Libya,2026,m12,d1,t13,115.72
Libya,Libya,2026,m12,d1,t14,115.72
Libya,Libya,2026,m12,d1,t15,115.72
Libya,Libya,2026,m12,d1,t16,115.72
Libya,Libya,2026,m12,d1,t17,115.72
Libya,Libya,2026,m12,d1,t18,115.72
Libya,Libya,2026,m12,d1,t19,115.72
Libya,Libya,2026,m12,d1,t2,115.72
Libya,Libya,2026,m12,d1,t20,115.72
Libya,Libya,2026,m12,d1,t21,115.72
Libya,Libya,2026,m12,d1,t22,115.72
Libya,Libya,2026,m12,d1,t23,115.72
Libya,Libya,2026,m12,d1,t24,115.72
Libya,Libya,2026,m12,d1,t3,115.72
Libya,Libya,2026,m12,d1,t4,115.72
Libya,Libya,2026,m12,d1,t5,115.72
Libya,Libya,2026,m12,d1,t6,115.72
Libya,Libya,2026,m12,d1,t7,115.72
Libya,Libya,2026,m12,d1,t8,115.72
Libya,Libya,2026,m12,d1,t9,115.72
Libya,Libya,2026,m2,d1,t1,115.72
Libya,Libya,2026,m2,d1,t10,115.72
Libya,Libya,2026,m2,d1,t11,115.72
Libya,Libya,2026,m2,d1,t12,115.72
Libya,Libya,2026,m2,d1,t13,115.72
Libya,Libya,2026,m2,d1,t14,115.72
Libya,Libya,2026,m2,d1,t15,115.72
Libya,Libya,2026,m2,d1,t16,115.72
Libya,Libya,2026,m2,d1,t17,115.72
Libya,Libya,2026,m2,d1,t18,115.72
Libya,Libya,2026,m2,d1,t19,115.72
Libya,Libya,2026,m2,d1,t2,115.72
Libya,Libya,2026,m2,d1,t20,115.72
Libya,Libya,2026,m2,d1,t21,115.72
Libya,Libya,2026,m2,d1,t22,115.72
Libya,Libya,2026,m2,d1,t23,115.72
Libya,Libya,2026,m2,d1,t24,115.72
Libya,Libya,2026,m2,d1,t3,115.72
Libya,Libya,2026,m2,d1,t4,115.72
Libya,Libya,2026,m2,d1,t5,115.72
Libya,Libya,2026,m2,d1,t6,115.72
Libya,Libya,2026,m2,d1,t7,115.72
Libya,Libya,2026,m2,d1,t8,115.72
Libya,Libya,2026,m2,d1,t9,115.72
Libya,Libya,2026,m3,d1,t1,115.72
Libya,Libya,2026,m3,d1,t10,115.72
