c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,0.0
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-3049.910804050909
System,System,NetPresentCostSystem,Fixed O&M: $m,,7396.448897694433
System,System,NetPresentCostSystem,Fuel costs: $m,,4928.371859028928
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,1856.7964711206812
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,6735.363267180188
System,System,NetPresentCostSystem,NPV of system cost: $m,,27551.816121069893
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-3685.452463129278
System,System,NetPresentCostSystem,Transmission costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,33.831659177577635
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,4.810159843079819
System,System,NetPresentCostSystem,Unmet demand costs: $m,,4.708898735326314
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,359.426974924676
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-4.009684460121569
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,9.72403067190605
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,6.4792767154376385
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,2.441110063275441
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,8.85490860579123
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,36.22207206914005
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-4.8452241456696585
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.0444781132236016
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0063238646677406
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,0.006190737794117
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,0.4725347226514897
Angola,Angola,CongestionShare,Congo,2025,1.0
Angola,Angola,CongestionShare,DRC,2025,1.0
Angola,Angola,CongestionShare,Congo,2040,1.0
Angola,Angola,CongestionShare,DRC,2040,1.0
CAR,CAR,CongestionShare,Congo,2025,1.0
CAR,CAR,CongestionShare,Congo,2040,1.0
Congo,Congo,CongestionShare,Angola,2025,1.0
Congo,Congo,CongestionShare,CAR,2025,1.0
Congo,Congo,CongestionShare,DRC,2025,0.5840182648401826
Congo,Congo,CongestionShare,Gabon,2025,1.0
Congo,Congo,CongestionShare,Angola,2040,1.0
Congo,Congo,CongestionShare,CAR,2040,1.0
Congo,Congo,CongestionShare,DRC,2040,0.5784246575342465
Congo,Congo,CongestionShare,Gabon,2040,1.0
Congo,Congo,Interchange,DRC,2025,409.42256686697607
Congo,Congo,Interchange,DRC,2040,406.16941520439264
Congo,Congo,InterconUtilization,DRC,2025,0.5842216992964842
Congo,Congo,InterconUtilization,DRC,2040,0.579579644983437
Congo,Congo,NetImport,DRC,2025,-0.4094225668669761
Congo,Congo,NetImport,DRC,2040,-0.4061694152043926
Congo,Congo,TransmissionCapacity,DRC,2025,80.0
Congo,Congo,TransmissionCapacity,DRC,2040,80.0
DRC,DRC,CongestionShare,Angola,2025,1.0
DRC,DRC,CongestionShare,Congo,2025,0.4140410958904109
DRC,DRC,CongestionShare,Angola,2040,1.0
DRC,DRC,CongestionShare,Congo,2040,0.4191780821917808
DRC,DRC,CongestionShare,DRC_South,2040,0.7360730593607306
DRC,DRC,Interchange,Congo,2025,290.6515452348943
DRC,DRC,Interchange,DRC_South,2025,6025.201706195767
DRC,DRC,Interchange,Congo,2040,293.76
DRC,DRC,Interchange,DRC_South,2040,8097.783255310173
DRC,DRC,InterconUtilization,Congo,2025,0.4147425017621208
DRC,DRC,InterconUtilization,DRC_South,2025,0.6878084139492885
DRC,DRC,InterconUtilization,Congo,2040,0.4191780821917808
DRC,DRC,InterconUtilization,DRC_South,2040,0.9244044811997916
DRC,DRC,NetImport,Congo,2025,-0.2906515452348943
DRC,DRC,NetImport,DRC_South,2025,-6.025201706195767
DRC,DRC,NetImport,Congo,2040,-0.29376
DRC,DRC,NetImport,DRC_South,2040,-8.097783255310173
DRC,DRC,TransmissionCapacity,Congo,2025,80.0
DRC,DRC,TransmissionCapacity,DRC_South,2025,1000.0
DRC,DRC,TransmissionCapacity,Congo,2040,80.0
DRC,DRC,TransmissionCapacity,DRC_South,2040,1000.0
DRC,DRC_South,NetImport,SAPP,2025,174.2235149387923
DRC,DRC_South,NetImport,SAPP,2040,1898.3347684166083
DRC,DRC_South,TransmissionCapacity,DRC,2025,1000.0
DRC,DRC_South,TransmissionCapacity,DRC,2040,1000.0
Gabon,Gabon,CongestionShare,Congo,2025,1.0
Gabon,Gabon,CongestionShare,Congo,2040,1.0
Angola,Angola,CapacityTechFuel,Nuclear,2025,0.0
Angola,Angola,CapacityTechFuel,CCGT-Gas,2025,787.8764596556533
Angola,Angola,CapacityTechFuel,CCGT-LNG,2025,0.0
Angola,Angola,CapacityTechFuel,ST-Coal,2025,0.0
Angola,Angola,CapacityTechFuel,ST-DomesticCoal,2025,0.0
Angola,Angola,CapacityTechFuel,ST-ImportedCoal,2025,0.0
Angola,Angola,CapacityTechFuel,ST-Geothermal,2025,0.0
Angola,Angola,CapacityTechFuel,ST-Lignite,2025,0.0
Angola,Angola,CapacityTechFuel,GT-Diesel,2025,0.0
Angola,Angola,CapacityTechFuel,GT-Gas,2025,700.0
Angola,Angola,CapacityTechFuel,GT-LNG,2025,0.0
Angola,Angola,CapacityTechFuel,GT-HFO,2025,0.0
Angola,Angola,CapacityTechFuel,ICE-Diesel,2025,701.0
Angola,Angola,CapacityTechFuel,ICE-HFO,2025,0.0
Angola,Angola,CapacityTechFuel,Biomass,2025,0.0
Angola,Angola,CapacityTechFuel,Reservoir,2025,1540.0
Angola,Angola,CapacityTechFuel,ROR,2025,2206.6
Angola,Angola,CapacityTechFuel,CSP,2025,0.0
Angola,Angola,CapacityTechFuel,Offshore Wind,2025,0.0
Angola,Angola,CapacityTechFuel,Onshore Wind,2025,0.0
Angola,Angola,CapacityTechFuel,PV,2025,336.0
Angola,Angola,CapacityTechFuel,PV+Storage,2025,0.0
Angola,Angola,CapacityTechFuel,Solar Thermal,2025,0.0
Angola,Angola,CapacityTechFuel,Battery,2025,50.0
Angola,Angola,CapacityTechFuel,PSH,2025,0.0
Angola,Angola,CapacityTechFuel,ImportTransmission-Import,2025,0.0
Angola,Angola,CapacityTechFuel,Nuclear,2040,0.0
Angola,Angola,CapacityTechFuel,CCGT-Gas,2040,1557.947575262488
Angola,Angola,CapacityTechFuel,CCGT-LNG,2040,0.0
Angola,Angola,CapacityTechFuel,ST-Coal,2040,0.0
Angola,Angola,CapacityTechFuel,ST-DomesticCoal,2040,0.0
Angola,Angola,CapacityTechFuel,ST-ImportedCoal,2040,0.0
Angola,Angola,CapacityTechFuel,ST-Geothermal,2040,0.0
Angola,Angola,CapacityTechFuel,ST-Lignite,2040,0.0
Angola,Angola,CapacityTechFuel,GT-Diesel,2040,0.0
Angola,Angola,CapacityTechFuel,GT-Gas,2040,0.0
Angola,Angola,CapacityTechFuel,GT-LNG,2040,0.0
Angola,Angola,CapacityTechFuel,GT-HFO,2040,0.0
Angola,Angola,CapacityTechFuel,ICE-Diesel,2040,0.0
Angola,Angola,CapacityTechFuel,ICE-HFO,2040,0.0
Angola,Angola,CapacityTechFuel,Biomass,2040,0.0
Angola,Angola,CapacityTechFuel,Reservoir,2040,1979.0
Angola,Angola,CapacityTechFuel,ROR,2040,4378.68920439495
Angola,Angola,CapacityTechFuel,CSP,2040,0.0
Angola,Angola,CapacityTechFuel,Offshore Wind,2040,0.0
Angola,Angola,CapacityTechFuel,Onshore Wind,2040,546.0
Angola,Angola,CapacityTechFuel,PV,2040,4101.0
Angola,Angola,CapacityTechFuel,PV+Storage,2040,0.0
Angola,Angola,CapacityTechFuel,Solar Thermal,2040,0.0
Angola,Angola,CapacityTechFuel,Battery,2040,1405.645522633882
Angola,Angola,CapacityTechFuel,PSH,2040,0.0
Angola,Angola,CapacityTechFuel,ImportTransmission-Import,2040,0.0
Angola,Angola,EnergyTechFuelComplete,Nuclear,2025,0.0
Angola,Angola,EnergyTechFuelComplete,CCGT-Gas,2025,4480.059087906811
Angola,Angola,EnergyTechFuelComplete,CCGT-LNG,2025,0.0
Angola,Angola,EnergyTechFuelComplete,ST-Coal,2025,0.0
Angola,Angola,EnergyTechFuelComplete,ST-DomesticCoal,2025,0.0
Angola,Angola,EnergyTechFuelComplete,ST-ImportedCoal,2025,0.0
Angola,Angola,EnergyTechFuelComplete,ST-Geothermal,2025,0.0
Angola,Angola,EnergyTechFuelComplete,ST-Lignite,2025,0.0
Angola,Angola,EnergyTechFuelComplete,GT-Diesel,2025,0.0
Angola,Angola,EnergyTechFuelComplete,GT-Gas,2025,2184.8399999999997
Angola,Angola,EnergyTechFuelComplete,GT-LNG,2025,0.0
Angola,Angola,EnergyTechFuelComplete,GT-HFO,2025,0.0
Angola,Angola,EnergyTechFuelComplete,ICE-Diesel,2025,0.0
Angola,Angola,EnergyTechFuelComplete,ICE-HFO,2025,0.0
Angola,Angola,EnergyTechFuelComplete,Biomass,2025,0.0
Angola,Angola,EnergyTechFuelComplete,Reservoir,2025,4395.557897942401
Angola,Angola,EnergyTechFuelComplete,ROR,2025,5328.78242055075
Angola,Angola,EnergyTechFuelComplete,CSP,2025,0.0
Angola,Angola,EnergyTechFuelComplete,Offshore Wind,2025,0.0
Angola,Angola,EnergyTechFuelComplete,Onshore Wind,2025,0.0
Angola,Angola,EnergyTechFuelComplete,PV,2025,690.7605935999995
Angola,Angola,EnergyTechFuelComplete,PV+Storage,2025,0.0
Angola,Angola,EnergyTechFuelComplete,Solar Thermal,2025,0.0
Angola,Angola,EnergyTechFuelComplete,Battery,2025,0.0
Angola,Angola,EnergyTechFuelComplete,PSH,2025,0.0
Angola,Angola,EnergyTechFuelComplete,ImportTransmission-Import,2025,0.0
Angola,Angola,EnergyTechFuelComplete,Nuclear,2040,0.0
Angola,Angola,EnergyTechFuelComplete,CCGT-Gas,2040,4862.665971909285
Angola,Angola,EnergyTechFuelComplete,CCGT-LNG,2040,0.0
Angola,Angola,EnergyTechFuelComplete,ST-Coal,2040,0.0
Angola,Angola,EnergyTechFuelComplete,ST-DomesticCoal,2040,0.0
Angola,Angola,EnergyTechFuelComplete,ST-ImportedCoal,2040,0.0
Angola,Angola,EnergyTechFuelComplete,ST-Geothermal,2040,0.0
Angola,Angola,EnergyTechFuelComplete,ST-Lignite,2040,0.0
Angola,Angola,EnergyTechFuelComplete,GT-Diesel,2040,0.0
Angola,Angola,EnergyTechFuelComplete,GT-Gas,2040,0.0
Angola,Angola,EnergyTechFuelComplete,GT-LNG,2040,0.0
Angola,Angola,EnergyTechFuelComplete,GT-HFO,2040,0.0
Angola,Angola,EnergyTechFuelComplete,ICE-Diesel,2040,0.0
Angola,Angola,EnergyTechFuelComplete,ICE-HFO,2040,0.0
Angola,Angola,EnergyTechFuelComplete,Biomass,2040,0.0
Angola,Angola,EnergyTechFuelComplete,Reservoir,2040,5648.929487842269
Angola,Angola,EnergyTechFuelComplete,ROR,2040,13044.833285792463
Angola,Angola,EnergyTechFuelComplete,CSP,2040,0.0
Angola,Angola,EnergyTechFuelComplete,Offshore Wind,2040,0.0
Angola,Angola,EnergyTechFuelComplete,Onshore Wind,2040,1863.4010303999992
Angola,Angola,EnergyTechFuelComplete,PV,2040,8430.979745100007
Angola,Angola,EnergyTechFuelComplete,PV+Storage,2040,0.0
Angola,Angola,EnergyTechFuelComplete,Solar Thermal,2040,0.0
Angola,Angola,EnergyTechFuelComplete,Battery,2040,2122.2856893960407
Angola,Angola,EnergyTechFuelComplete,PSH,2040,0.0
Angola,Angola,EnergyTechFuelComplete,ImportTransmission-Import,2040,0.0
Angola,Angola,NewCapacityTechFuel,Nuclear,2025,0.0
Angola,Angola,NewCapacityTechFuel,CCGT-Gas,2025,37.87645965565332
Angola,Angola,NewCapacityTechFuel,CCGT-LNG,2025,0.0
