attribute,uni,value
NetPresentCostSystem,Carbon costs: $m,0.0
NetPresentCostSystem,Excess generation: $m,0.0
NetPresentCostSystem,Export revenues with external zones: $m,0.0
NetPresentCostSystem,Export revenues with internal zones: $m,-9391.158182589392
NetPresentCostSystem,Fixed O&M: $m,6906.006420141981
NetPresentCostSystem,Fuel costs: $m,810.1075140002513
NetPresentCostSystem,Generation costs: $m,0.0
NetPresentCostSystem,Import costs with external zones: $m,300.56638069068345
NetPresentCostSystem,Import costs with internal zones: $m,13919.155774233996
NetPresentCostSystem,NPV of system cost: $m,21641.82722174011
NetPresentCostSystem,Spinning reserve costs: $m,0.0
NetPresentCostSystem,Startup costs: $m,0.0
NetPresentCostSystem,Trade shared benefits: $m,-4527.997591644609
NetPresentCostSystem,Transmission costs: $m,1894.544958471092
NetPresentCostSystem,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet country planning reserve costs: $m,42.74951861483424
NetPresentCostSystem,Unmet country spinning reserve costs: $m,0.1402536566820414
NetPresentCostSystem,Unmet demand costs: $m,4.708898735326314
NetPresentCostSystem,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystem,VRE curtailment: $m,0.0
NetPresentCostSystem,Variable O&M: $m,322.31412826414726
NetPresentCostSystemPerMWh,Carbon costs: $m,0.0
NetPresentCostSystemPerMWh,Excess generation: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with external zones: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,-12.34645320684718
NetPresentCostSystemPerMWh,Fixed O&M: $m,9.079251297304785
NetPresentCostSystemPerMWh,Fuel costs: $m,1.0650395105326182
NetPresentCostSystemPerMWh,Generation costs: $m,0.0
NetPresentCostSystemPerMWh,Import costs with external zones: $m,0.395151341570283
NetPresentCostSystemPerMWh,Import costs with internal zones: $m,18.299362240964037
NetPresentCostSystemPerMWh,NPV of system cost: $m,28.45227414007967
NetPresentCostSystemPerMWh,Spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Startup costs: $m,0.0
NetPresentCostSystemPerMWh,Trade shared benefits: $m,-5.952909034116863
NetPresentCostSystemPerMWh,Transmission costs: $m,2.490737587765993
NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,0.0562023257335618
NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,0.0001843899522983
NetPresentCostSystemPerMWh,Unmet demand costs: $m,0.006190737794117
NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,VRE curtailment: $m,0.0
NetPresentCostSystemPerMWh,Variable O&M: $m,0.4237428680412023
