c,z,attribute,y,uni,value
Angola,Angola,Costs,2025.0,Carbon costs: $m,0.0
Angola,Angola,Costs,2025.0,Excess generation: $m,0.0
Angola,Angola,Costs,2025.0,Export revenues with external zones: $m,0.0
Angola,Angola,Costs,2025.0,Export revenues with internal zones: $m,0.0
Angola,Angola,Costs,2025.0,Fixed O&M: $m,210.6762937896696
Angola,Angola,Costs,2025.0,Fuel costs: $m,424.0736736024056
Angola,Angola,Costs,2025.0,Generation costs: $m,0.0
Angola,Angola,Costs,2025.0,Import costs with external zones: $m,0.0
Angola,Angola,Costs,2025.0,Import costs with internal zones: $m,0.0
Angola,Angola,Costs,2025.0,NPV of system cost: $m,0.0
Angola,Angola,Costs,2025.0,Spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Startup costs: $m,0.0
Angola,Angola,Costs,2025.0,Trade shared benefits: $m,0.0
Angola,Angola,Costs,2025.0,Transmission costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet demand costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,VRE curtailment: $m,0.0
Angola,Angola,Costs,2025.0,Variable O&M: $m,13.837970171001103
Angola,Angola,Costs,2040.0,Carbon costs: $m,0.0
Angola,Angola,Costs,2040.0,Excess generation: $m,0.0
Angola,Angola,Costs,2040.0,Export revenues with external zones: $m,0.0
Angola,Angola,Costs,2040.0,Export revenues with internal zones: $m,-3.376084631203437
Angola,Angola,Costs,2040.0,Fixed O&M: $m,313.5656903728346
Angola,Angola,Costs,2040.0,Fuel costs: $m,226.456932284838
Angola,Angola,Costs,2040.0,Generation costs: $m,0.0
Angola,Angola,Costs,2040.0,Import costs with external zones: $m,0.0
Angola,Angola,Costs,2040.0,Import costs with internal zones: $m,496.0055552415542
Angola,Angola,Costs,2040.0,NPV of system cost: $m,0.0
Angola,Angola,Costs,2040.0,Spinning reserve costs: $m,0.0
Angola,Angola,Costs,2040.0,Startup costs: $m,0.0
Angola,Angola,Costs,2040.0,Trade shared benefits: $m,-108.83009787605242
Angola,Angola,Costs,2040.0,Transmission costs: $m,23.255188099407253
Angola,Angola,Costs,2040.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2040.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola,Costs,2040.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola,Costs,2040.0,Unmet demand costs: $m,0.8117708046526634
Angola,Angola,Costs,2040.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2040.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola,Costs,2040.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola,Costs,2040.0,VRE curtailment: $m,0.0
Angola,Angola,Costs,2040.0,Variable O&M: $m,8.379723453569092
Angola,Angola,GenCostsPerMWh,2025.0,Fixed O&M: $m,12.334677622346003
Angola,Angola,GenCostsPerMWh,2025.0,Investment costs: $m,0.3586853825938773
Angola,Angola,GenCostsPerMWh,2025.0,Variable Cost: $m,25.63885502186235
Angola,Angola,GenCostsPerMWh,2040.0,Fixed O&M: $m,10.634595230788555
Angola,Angola,GenCostsPerMWh,2040.0,Investment costs: $m,15.21989343068757
Angola,Angola,GenCostsPerMWh,2040.0,Variable Cost: $m,7.964496294733519
Angola,Angola,NetPresentCostPerMWh,,Carbon costs: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Excess generation: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Export revenues with external zones: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Export revenues with internal zones: $m,-0.0954296042068019
Angola,Angola,NetPresentCostPerMWh,,Fixed O&M: $m,9.477952721246508
Angola,Angola,NetPresentCostPerMWh,,Fuel costs: $m,7.638237605967738
Angola,Angola,NetPresentCostPerMWh,,Generation costs: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Import costs with external zones: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Import costs with internal zones: $m,14.020268740776212
Angola,Angola,NetPresentCostPerMWh,,NPV of system cost: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Spinning reserve costs: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Startup costs: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Trade shared benefits: $m,-3.076230101020052
Angola,Angola,NetPresentCostPerMWh,,Transmission costs: $m,0.6573393852659721
Angola,Angola,NetPresentCostPerMWh,,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Unmet country planning reserve costs: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Unmet country spinning reserve costs: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Unmet demand costs: $m,0.022945801144513
Angola,Angola,NetPresentCostPerMWh,,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Unmet system planning reserve costs: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Unmet system spinning reserve costs: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,VRE curtailment: $m,0.0
Angola,Angola,NetPresentCostPerMWh,,Variable O&M: $m,0.2772329460996525
CAR,CAR,Costs,2025.0,Carbon costs: $m,0.0
CAR,CAR,Costs,2025.0,Excess generation: $m,0.0
CAR,CAR,Costs,2025.0,Export revenues with external zones: $m,0.0
CAR,CAR,Costs,2025.0,Export revenues with internal zones: $m,0.0
CAR,CAR,Costs,2025.0,Fixed O&M: $m,2.77
CAR,CAR,Costs,2025.0,Fuel costs: $m,3.052979666452901
CAR,CAR,Costs,2025.0,Generation costs: $m,0.0
CAR,CAR,Costs,2025.0,Import costs with external zones: $m,0.0
CAR,CAR,Costs,2025.0,Import costs with internal zones: $m,0.0
CAR,CAR,Costs,2025.0,NPV of system cost: $m,0.0
CAR,CAR,Costs,2025.0,Spinning reserve costs: $m,0.0
CAR,CAR,Costs,2025.0,Startup costs: $m,0.0
CAR,CAR,Costs,2025.0,Trade shared benefits: $m,0.0
CAR,CAR,Costs,2025.0,Transmission costs: $m,0.0
CAR,CAR,Costs,2025.0,Unmet country CO2 backstop cost: $m,0.0
CAR,CAR,Costs,2025.0,Unmet country planning reserve costs: $m,1.5480000000000007
CAR,CAR,Costs,2025.0,Unmet country spinning reserve costs: $m,0.0011581559999999
CAR,CAR,Costs,2025.0,Unmet demand costs: $m,4.708898735326314
CAR,CAR,Costs,2025.0,Unmet system CO2 backstop cost: $m,0.0
CAR,CAR,Costs,2025.0,Unmet system planning reserve costs: $m,0.0
CAR,CAR,Costs,2025.0,Unmet system spinning reserve costs: $m,0.0
CAR,CAR,Costs,2025.0,VRE curtailment: $m,0.0
CAR,CAR,Costs,2025.0,Variable O&M: $m,0.2017881972843388
CAR,CAR,Costs,2040.0,Carbon costs: $m,0.0
CAR,CAR,Costs,2040.0,Excess generation: $m,0.0
CAR,CAR,Costs,2040.0,Export revenues with external zones: $m,0.0
CAR,CAR,Costs,2040.0,Export revenues with internal zones: $m,-1.6271568570369594
CAR,CAR,Costs,2040.0,Fixed O&M: $m,10.82755115511632
