c,z,attribute,y,uni,value
Burundi,Burundi,Costs,2026.0,Carbon costs: $m,0
Burundi,Burundi,Costs,2026.0,Excess generation: $m,0
Burundi,Burundi,Costs,2026.0,Export revenues with external zones: $m,0
Burundi,Burundi,Costs,2026.0,Export revenues with internal zones: $m,0
Burundi,Burundi,Costs,2026.0,Fixed O&M: $m,5.388999999999999
Burundi,Burundi,Costs,2026.0,Fuel costs: $m,0.010946228121562072
Burundi,Burundi,Costs,2026.0,Generation costs: $m,0
Burundi,Burundi,Costs,2026.0,Import costs with external zones: $m,0
Burundi,Burundi,Costs,2026.0,Import costs with internal zones: $m,110.6137092736702
Burundi,Burundi,Costs,2026.0,NPV of system cost: $m,0
Burundi,Burundi,Costs,2026.0,Spinning reserve costs: $m,0
Burundi,Burundi,Costs,2026.0,Startup costs: $m,0
Burundi,Burundi,Costs,2026.0,Trade shared benefits: $m,-2.8723301211547727
Burundi,Burundi,Costs,2026.0,Transmission costs: $m,0
Burundi,Burundi,Costs,2026.0,Unmet country CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2026.0,Unmet country planning reserve costs: $m,0
Burundi,Burundi,Costs,2026.0,Unmet country spinning reserve costs: $m,0.005884800000000008
Burundi,Burundi,Costs,2026.0,Unmet demand costs: $m,0
Burundi,Burundi,Costs,2026.0,Unmet system CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2026.0,Unmet system planning reserve costs: $m,0
Burundi,Burundi,Costs,2026.0,Unmet system spinning reserve costs: $m,0
Burundi,Burundi,Costs,2026.0,VRE curtailment: $m,0
Burundi,Burundi,Costs,2026.0,Variable O&M: $m,0.2709729818362839
Burundi,Burundi,Costs,2028.0,Carbon costs: $m,0
Burundi,Burundi,Costs,2028.0,Excess generation: $m,0
Burundi,Burundi,Costs,2028.0,Export revenues with external zones: $m,0
Burundi,Burundi,Costs,2028.0,Export revenues with internal zones: $m,0
Burundi,Burundi,Costs,2028.0,Fixed O&M: $m,15.94323671559684
Burundi,Burundi,Costs,2028.0,Fuel costs: $m,0
Burundi,Burundi,Costs,2028.0,Generation costs: $m,0
Burundi,Burundi,Costs,2028.0,Import costs with external zones: $m,0
Burundi,Burundi,Costs,2028.0,Import costs with internal zones: $m,43.25602553902391
Burundi,Burundi,Costs,2028.0,NPV of system cost: $m,0
Burundi,Burundi,Costs,2028.0,Spinning reserve costs: $m,0
Burundi,Burundi,Costs,2028.0,Startup costs: $m,0
Burundi,Burundi,Costs,2028.0,Trade shared benefits: $m,-1.0814006384755968
Burundi,Burundi,Costs,2028.0,Transmission costs: $m,0
Burundi,Burundi,Costs,2028.0,Unmet country CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2028.0,Unmet country planning reserve costs: $m,0
Burundi,Burundi,Costs,2028.0,Unmet country spinning reserve costs: $m,0
Burundi,Burundi,Costs,2028.0,Unmet demand costs: $m,0
Burundi,Burundi,Costs,2028.0,Unmet system CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2028.0,Unmet system planning reserve costs: $m,0
Burundi,Burundi,Costs,2028.0,Unmet system spinning reserve costs: $m,0
Burundi,Burundi,Costs,2028.0,VRE curtailment: $m,0
Burundi,Burundi,Costs,2028.0,Variable O&M: $m,1.5103463836365558
Burundi,Burundi,Costs,2030.0,Carbon costs: $m,0
Burundi,Burundi,Costs,2030.0,Excess generation: $m,0
Burundi,Burundi,Costs,2030.0,Export revenues with external zones: $m,0
Burundi,Burundi,Costs,2030.0,Export revenues with internal zones: $m,-6.595197028834484
Burundi,Burundi,Costs,2030.0,Fixed O&M: $m,21.093236715596838
Burundi,Burundi,Costs,2030.0,Fuel costs: $m,0.000940233534301669
Burundi,Burundi,Costs,2030.0,Generation costs: $m,0
Burundi,Burundi,Costs,2030.0,Import costs with external zones: $m,0
Burundi,Burundi,Costs,2030.0,Import costs with internal zones: $m,8.548459210033624
Burundi,Burundi,Costs,2030.0,NPV of system cost: $m,0
Burundi,Burundi,Costs,2030.0,Spinning reserve costs: $m,0
Burundi,Burundi,Costs,2030.0,Startup costs: $m,0
Burundi,Burundi,Costs,2030.0,Trade shared benefits: $m,-0.38726929679911626
Burundi,Burundi,Costs,2030.0,Transmission costs: $m,0
Burundi,Burundi,Costs,2030.0,Unmet country CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2030.0,Unmet country planning reserve costs: $m,0
Burundi,Burundi,Costs,2030.0,Unmet country spinning reserve costs: $m,0
Burundi,Burundi,Costs,2030.0,Unmet demand costs: $m,0
Burundi,Burundi,Costs,2030.0,Unmet system CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2030.0,Unmet system planning reserve costs: $m,0
Burundi,Burundi,Costs,2030.0,Unmet system spinning reserve costs: $m,0
Burundi,Burundi,Costs,2030.0,VRE curtailment: $m,0
Burundi,Burundi,Costs,2030.0,Variable O&M: $m,1.9506160927378613
Burundi,Burundi,Costs,2032.0,Carbon costs: $m,0
Burundi,Burundi,Costs,2032.0,Excess generation: $m,0
Burundi,Burundi,Costs,2032.0,Export revenues with external zones: $m,0
Burundi,Burundi,Costs,2032.0,Export revenues with internal zones: $m,-15.878508665786313
Burundi,Burundi,Costs,2032.0,Fixed O&M: $m,23.593236715596834
Burundi,Burundi,Costs,2032.0,Fuel costs: $m,0.049828855357888856
Burundi,Burundi,Costs,2032.0,Generation costs: $m,0
Burundi,Burundi,Costs,2032.0,Import costs with external zones: $m,0
Burundi,Burundi,Costs,2032.0,Import costs with internal zones: $m,8.365534762523536
Burundi,Burundi,Costs,2032.0,NPV of system cost: $m,0
Burundi,Burundi,Costs,2032.0,Spinning reserve costs: $m,0
Burundi,Burundi,Costs,2032.0,Startup costs: $m,0
Burundi,Burundi,Costs,2032.0,Trade shared benefits: $m,-0.6269938602679911
Burundi,Burundi,Costs,2032.0,Transmission costs: $m,0
Burundi,Burundi,Costs,2032.0,Unmet country CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2032.0,Unmet country planning reserve costs: $m,0
Burundi,Burundi,Costs,2032.0,Unmet country spinning reserve costs: $m,3.600000000000403e-07
Burundi,Burundi,Costs,2032.0,Unmet demand costs: $m,0.034631055372936204
Burundi,Burundi,Costs,2032.0,Unmet system CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2032.0,Unmet system planning reserve costs: $m,0
Burundi,Burundi,Costs,2032.0,Unmet system spinning reserve costs: $m,0
Burundi,Burundi,Costs,2032.0,VRE curtailment: $m,0
Burundi,Burundi,Costs,2032.0,Variable O&M: $m,2.1638253858168506
Burundi,Burundi,Costs,2034.0,Carbon costs: $m,0
Burundi,Burundi,Costs,2034.0,Excess generation: $m,0
Burundi,Burundi,Costs,2034.0,Export revenues with external zones: $m,0
Burundi,Burundi,Costs,2034.0,Export revenues with internal zones: $m,-12.161117258993835
Burundi,Burundi,Costs,2034.0,Fixed O&M: $m,24.439839571088292
Burundi,Burundi,Costs,2034.0,Fuel costs: $m,0.06250005337091062
Burundi,Burundi,Costs,2034.0,Generation costs: $m,0
Burundi,Burundi,Costs,2034.0,Import costs with external zones: $m,0
Burundi,Burundi,Costs,2034.0,Import costs with internal zones: $m,17.139717876584864
Burundi,Burundi,Costs,2034.0,NPV of system cost: $m,0
Burundi,Burundi,Costs,2034.0,Spinning reserve costs: $m,0
Burundi,Burundi,Costs,2034.0,Startup costs: $m,0
Burundi,Burundi,Costs,2034.0,Trade shared benefits: $m,-0.7485223484670906
Burundi,Burundi,Costs,2034.0,Transmission costs: $m,0
Burundi,Burundi,Costs,2034.0,Unmet country CO2 backstop cost: $m,0
Burundi,Burundi,Costs,2034.0,Unmet country planning reserve costs: $m,0
Burundi,Burundi,Costs,2034.0,Unmet country spinning reserve costs: $m,5.892000000000004e-05
Burundi,Burundi,Costs,2034.0,Unmet demand costs: $m,0.07192405683147618
