c,z,attribute,y,tech,f,techfuel,g,uni,value
Libya,Libya,CapacityPlant,2026,OCGT,Gas,Gas,West Tripoli,,1400.0
Libya,Libya,CapacityPlant,2026,CCGT,Gas,Gas,Benghazi North,,915.0
Libya,Libya,CapacityPlant,2026,OCGT,Gas,Gas,Tobruk METKA,,760.0
Libya,Libya,CapacityPlant,2026,CCGT,Gas,Gas,Zawiya CC,,1356.0
Libya,Libya,CapacityPlant,2026,OCGT,Gas,Gas,South Tripoli,,596.0
Libya,Libya,CapacityPlant,2026,OCGT,Gas,Gas,Misrata,,1340.0
Libya,Libya,CapacityPlant,2026,OCGT,Gas,Gas,West Mountain,,900.0
Libya,Libya,CapacityPlant,2026,ST,Gas,Gas,Zwitena,,500.0
Libya,Libya,CapacityPlant,2026,OCGT,Gas,Gas,Obari,,640.0
Libya,Libya,CapacityPlant,2026,OCGT,Gas,Gas,Alsari,,750.0
Libya,Libya,CapacityPlant,2026,ST,HFO,Diesel,Gulf Plant,,1400.0
Libya,Libya,CapacityPlant,2026,ST,HFO,Diesel,Al-Khoms,,1605.0
Libya,Libya,CapacityPlant,2026,ST,Diesel,Diesel,Derna,,130.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,West Tripoli,,1400.0
Libya,Libya,CapacityPlant,2028,CCGT,Gas,Gas,Benghazi North,,915.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,Tobruk METKA,,760.0
Libya,Libya,CapacityPlant,2028,CCGT,Gas,Gas,Zawiya CC,,1356.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,South Tripoli,,596.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,Misrata,,1340.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,West Mountain,,900.0
Libya,Libya,CapacityPlant,2028,ST,Gas,Gas,Zwitena,,500.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,Obari,,640.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,Alsari,,750.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,South Tripoli New,,1320.0
Libya,Libya,CapacityPlant,2028,OCGT,Gas,Gas,NGSC_GENC_LIB,,800.0
Libya,Libya,CapacityPlant,2028,ST,HFO,Diesel,Gulf Plant,,1400.0
Libya,Libya,CapacityPlant,2028,ST,HFO,Diesel,Al-Khoms,,1605.0
Libya,Libya,CapacityPlant,2028,ST,Diesel,Diesel,Derna,,130.0
Libya,Libya,CapacityPlant,2028,PV,Solar,PV,Scada PV,,500.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,West Tripoli,,1400.0
Libya,Libya,CapacityPlant,2030,CCGT,Gas,Gas,Benghazi North,,915.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,Tobruk METKA,,760.0
Libya,Libya,CapacityPlant,2030,CCGT,Gas,Gas,Zawiya CC,,1356.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,South Tripoli,,596.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,Misrata,,1340.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,West Mountain,,900.0
Libya,Libya,CapacityPlant,2030,ST,Gas,Gas,Zwitena,,500.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,Obari,,640.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,Alsari,,750.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,South Tripoli New,,1320.0
Libya,Libya,CapacityPlant,2030,CCGT,Gas,Gas,NGCC_GENC_LIB,,1000.0
Libya,Libya,CapacityPlant,2030,OCGT,Gas,Gas,NGSC_GENC_LIB,,1600.0
Libya,Libya,CapacityPlant,2030,ST,HFO,Diesel,Gulf Plant,,1400.0
Libya,Libya,CapacityPlant,2030,ST,HFO,Diesel,Al-Khoms,,1605.0
Libya,Libya,CapacityPlant,2030,ST,Diesel,Diesel,Derna,,130.0
Libya,Libya,CapacityPlant,2030,OnshoreWind,Wind,Onshore Wind,WDLC_GENC_LIB,,100.0
Libya,Libya,CapacityPlant,2030,PV,Solar,PV,Scada PV,,500.0
Libya,Libya,CapacityPlant,2030,PV,Solar,PV,SOPC_GENC_LIB,,400.0
Libya,Libya,CapacityPlant,2032,OCGT,Gas,Gas,Tobruk METKA,,760.0
Libya,Libya,CapacityPlant,2032,CCGT,Gas,Gas,Zawiya CC,,1356.0
Libya,Libya,CapacityPlant,2032,OCGT,Gas,Gas,South Tripoli,,596.0
Libya,Libya,CapacityPlant,2032,OCGT,Gas,Gas,Misrata,,1340.0
Libya,Libya,CapacityPlant,2032,OCGT,Gas,Gas,West Mountain,,900.0
Libya,Libya,CapacityPlant,2032,ST,Gas,Gas,Zwitena,,500.0
Libya,Libya,CapacityPlant,2032,OCGT,Gas,Gas,Obari,,640.0
Libya,Libya,CapacityPlant,2032,OCGT,Gas,Gas,Alsari,,750.0
Libya,Libya,CapacityPlant,2032,OCGT,Gas,Gas,South Tripoli New,,1320.0
Libya,Libya,CapacityPlant,2032,CCGT,Gas,Gas,NGCC_GENC_LIB,,2000.0
Libya,Libya,CapacityPlant,2032,OCGT,Gas,Gas,NGSC_GENC_LIB,,2400.0
Libya,Libya,CapacityPlant,2032,ST,HFO,Diesel,Gulf Plant,,1400.0
Libya,Libya,CapacityPlant,2032,ST,HFO,Diesel,Al-Khoms,,1605.0
Libya,Libya,CapacityPlant,2032,OnshoreWind,Wind,Onshore Wind,WDLC_GENC_LIB,,200.0
Libya,Libya,CapacityPlant,2032,PV,Solar,PV,Scada PV,,500.0
Libya,Libya,CapacityPlant,2032,PV,Solar,PV,SOPC_GENC_LIB,,800.0
Libya,Libya,CapacityPlant,2032,Storage,Battery,Battery,Batt_GENC_LIB,,200.0
Libya,Libya,CapacityPlant,2034,OCGT,Gas,Gas,Tobruk METKA,,760.0
Libya,Libya,CapacityPlant,2034,CCGT,Gas,Gas,Zawiya CC,,1356.0
Libya,Libya,CapacityPlant,2034,OCGT,Gas,Gas,South Tripoli,,596.0
Libya,Libya,CapacityPlant,2034,OCGT,Gas,Gas,Misrata,,1340.0
Libya,Libya,CapacityPlant,2034,OCGT,Gas,Gas,West Mountain,,900.0
Libya,Libya,CapacityPlant,2034,ST,Gas,Gas,Zwitena,,500.0
Libya,Libya,CapacityPlant,2034,OCGT,Gas,Gas,Obari,,640.0
Libya,Libya,CapacityPlant,2034,OCGT,Gas,Gas,Alsari,,750.0
Libya,Libya,CapacityPlant,2034,OCGT,Gas,Gas,South Tripoli New,,1320.0
Libya,Libya,CapacityPlant,2034,CCGT,Gas,Gas,NGCC_GENC_LIB,,3000.0
