c,z,attribute,y,uni,value
ALGERIA,ALGERIA,CapexInvestmentComponent,2025,Generation,3600000000.0
ALGERIA,ALGERIA,CapexInvestmentComponent,2026,Generation,3477555810.0
ALGERIA,ALGERIA,CapexInvestmentComponent,2027,Generation,3359276222.4
ALGERIA,ALGERIA,CapexInvestmentComponent,2030,Generation,1944496178.1269183
ALGERIA,ALGERIA,CapexInvestmentComponentCumulated,2025,Generation,3600000000.0
ALGERIA,ALGERIA,CapexInvestmentComponentCumulated,2026,Generation,7077555810.0
ALGERIA,ALGERIA,CapexInvestmentComponentCumulated,2027,Generation,10436832032.4
ALGERIA,ALGERIA,CapexInvestmentComponentCumulated,2030,Generation,12381328210.526918
BAHRAIN,BAHRAIN,CapexInvestmentComponent,2025,Generation,2497500000.0
BAHRAIN,BAHRAIN,CapexInvestmentComponent,2030,Generation,151585242.7202344
BAHRAIN,BAHRAIN,CapexInvestmentComponentCumulated,2025,Generation,2497500000.0
BAHRAIN,BAHRAIN,CapexInvestmentComponentCumulated,2030,Generation,2649085242.7202344
EGYPT,EGYPT,CapexInvestmentComponent,2025,Generation,4953002197.334148
EGYPT,EGYPT,CapexInvestmentComponent,2026,Generation,12414775587.23307
EGYPT,EGYPT,CapexInvestmentComponent,2027,Generation,6575894261.757586
EGYPT,EGYPT,CapexInvestmentComponent,2028,Generation,4396645783.428718
EGYPT,EGYPT,CapexInvestmentComponent,2029,Generation,10023998145.600077
EGYPT,EGYPT,CapexInvestmentComponent,2030,Generation,19009999999.99997
EGYPT,EGYPT,CapexInvestmentComponentCumulated,2025,Generation,4953002197.334148
EGYPT,EGYPT,CapexInvestmentComponentCumulated,2026,Generation,17367777784.56722
EGYPT,EGYPT,CapexInvestmentComponentCumulated,2027,Generation,23943672046.324806
EGYPT,EGYPT,CapexInvestmentComponentCumulated,2028,Generation,28340317829.75352
EGYPT,EGYPT,CapexInvestmentComponentCumulated,2029,Generation,38364315975.3536
EGYPT,EGYPT,CapexInvestmentComponentCumulated,2030,Generation,57374315975.35357
IRAQ,IRAQ,CapexInvestmentComponent,2022,Generation,9797537915.598915
IRAQ,IRAQ,CapexInvestmentComponent,2023,Generation,14777095955.16378
IRAQ,IRAQ,CapexInvestmentComponent,2024,Generation,5838842500.130345
IRAQ,IRAQ,CapexInvestmentComponent,2025,Generation,6068194117.505307
IRAQ,IRAQ,CapexInvestmentComponent,2026,Generation,4585683442.938641
IRAQ,IRAQ,CapexInvestmentComponent,2027,Generation,4893827080.214563
IRAQ,IRAQ,CapexInvestmentComponent,2028,Generation,5474863652.55315
IRAQ,IRAQ,CapexInvestmentComponent,2029,Generation,11151353579.370531
IRAQ,IRAQ,CapexInvestmentComponent,2030,Generation,11511706993.376478
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2022,Generation,9797537915.598915
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2023,Generation,24574633870.76269
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2024,Generation,30413476370.89304
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2025,Generation,36481670488.398346
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2026,Generation,41067353931.33699
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2027,Generation,45961181011.55155
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2028,Generation,51436044664.10471
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2029,Generation,62587398243.47524
IRAQ,IRAQ,CapexInvestmentComponentCumulated,2030,Generation,74099105236.85172
JORDAN,JORDAN,CapexInvestmentComponent,2030,Generation,83202694.96759634
JORDAN,JORDAN,CapexInvestmentComponentCumulated,2030,Generation,83202694.96759634
KSA,KSA,CapexInvestmentComponent,2022,Generation,9312000000.00001
KSA,KSA,CapexInvestmentComponent,2023,Generation,20573334694.45264
KSA,KSA,CapexInvestmentComponent,2024,Generation,23484000000.0
KSA,KSA,CapexInvestmentComponent,2025,Generation,22867697735.96304
