c,z,attribute,y,uni,value
ALGERIA,ALGERIA,CongestionShare,2020,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2020,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2021,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2021,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2022,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2022,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2023,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2023,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2024,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2024,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2025,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2025,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2026,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2026,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2027,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2027,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2028,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2028,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2029,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2029,TUNISIA,1.0
ALGERIA,ALGERIA,CongestionShare,2030,MOROCCO,1.0
ALGERIA,ALGERIA,CongestionShare,2030,TUNISIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2020,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2021,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2022,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2023,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2024,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2025,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2026,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2027,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2028,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2029,GCCIA,1.0
BAHRAIN,BAHRAIN,CongestionShare,2030,GCCIA,1.0
EGYPT,EGYPT,CongestionShare,2020,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2020,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2021,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2021,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2022,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2022,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2023,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2023,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2024,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2024,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2025,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2025,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2026,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2026,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2027,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2027,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2028,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2028,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2029,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2029,LIBYA,1.0
EGYPT,EGYPT,CongestionShare,2030,JORDAN,1.0
EGYPT,EGYPT,CongestionShare,2030,LIBYA,1.0
GCCIA,GCCIA,CongestionShare,2020,BAHRAIN,1.0
GCCIA,GCCIA,CongestionShare,2020,KSA,1.0
