c,z,attribute,y,value
ALGERIA,ALGERIA,CapexInvestmentComponent,2025,3600000000.0
ALGERIA,ALGERIA,CapexInvestmentComponent,2026,3477555810.0
ALGERIA,ALGERIA,CapexInvestmentComponent,2027,3359276222.4
ALGERIA,ALGERIA,CapexInvestmentComponent,2030,1944496178.1269183
ALGERIA,ALGERIA,CapexInvestmentComponentCumulated,2025,3600000000.0
ALGERIA,ALGERIA,CapexInvestmentComponentCumulated,2026,7077555810.0
ALGERIA,ALGERIA,CapexInvestmentComponentCumulated,2027,10436832032.4
ALGERIA,ALGERIA,CapexInvestmentComponentCumulated,2030,12381328210.526918
ALGERIA,ALGERIA,Costs,2020,3509.9478073342443
ALGERIA,ALGERIA,Costs,2021,3649.045354046157
ALGERIA,ALGERIA,Costs,2022,3795.373322055239
ALGERIA,ALGERIA,Costs,2023,3360.456135909591
ALGERIA,ALGERIA,Costs,2024,2938.7202788622208
ALGERIA,ALGERIA,Costs,2025,2859.838245632848
ALGERIA,ALGERIA,Costs,2026,2387.329664548157
ALGERIA,ALGERIA,Costs,2027,1978.081937679838
ALGERIA,ALGERIA,Costs,2028,2147.246697327345
ALGERIA,ALGERIA,Costs,2029,2328.3066314210955
ALGERIA,ALGERIA,Costs,2030,2575.994023746814
ALGERIA,ALGERIA,CostsPerMWh,2020,00006.46757270139978632.4494325080563400000.13970406686744324000000000002.9563831790035757
ALGERIA,ALGERIA,CostsPerMWh,2021,00006.20742567916131932.57928110998058500000.13408471032239763000000000003.000384927920993
ALGERIA,ALGERIA,CostsPerMWh,2022,00005.95774262482921132.704488861485800000.12869138275910155000000000003.057482148458035
ALGERIA,ALGERIA,CostsPerMWh,2023,00006.18373944257645926.3502307208998400000.12351499254932707000000000002.9050611950434497
ALGERIA,ALGERIA,CostsPerMWh,2024,00006.38191648399149320.55849195576471500000.11854681376000173000000000002.7895837065124236
ALGERIA,ALGERIA,CostsPerMWh,2025,00006.542410235921571418.451213788481800000.11357473933762714000000000002.72183712981585
ALGERIA,ALGERIA,CostsPerMWh,2026,00006.62253356769212612.8465343015356200000.10920938310429408000000000002.759877269041692
ALGERIA,ALGERIA,CostsPerMWh,2027,00006.7638720304698268.11602755442963400000.10501181360906034000000000002.8125220949476346
ALGERIA,ALGERIA,CostsPerMWh,2028,00006.5038959908867449.16651272731595200000.10097558180447606000000000002.80551598555989
ALGERIA,ALGERIA,CostsPerMWh,2029,00006.25391238475787310.21135671936829300000.09709448651854077000000000002.8067473547106663
ALGERIA,ALGERIA,CostsPerMWh,2030,00006.35941446266952211.44967841037826500000.11146367695147849000000000002.702001385717818
ALGERIA,ALGERIA,DemandEnergyZone,2020,83544.1430803124
ALGERIA,ALGERIA,DemandEnergyZone,2021,87045.39483444442
ALGERIA,ALGERIA,DemandEnergyZone,2022,90693.38055931138
ALGERIA,ALGERIA,DemandEnergyZone,2023,94494.24972935238
ALGERIA,ALGERIA,DemandEnergyZone,2024,98454.4095373505
ALGERIA,ALGERIA,DemandEnergyZone,2025,102764.5462304706
ALGERIA,ALGERIA,DemandEnergyZone,2026,106872.28715621504
ALGERIA,ALGERIA,DemandEnergyZone,2027,111144.22416058746
ALGERIA,ALGERIA,DemandEnergyZone,2028,115586.92054753633
ALGERIA,ALGERIA,DemandEnergyZone,2029,120207.20197172566
ALGERIA,ALGERIA,DemandEnergyZone,2030,124911.4698465868
ALGERIA,ALGERIA,DemandPeakZone,2020,15238.0
ALGERIA,ALGERIA,DemandPeakZone,2021,15876.6093897471
ALGERIA,ALGERIA,DemandPeakZone,2022,16541.9822624102
ALGERIA,ALGERIA,DemandPeakZone,2023,17235.2402488786
ALGERIA,ALGERIA,DemandPeakZone,2024,17957.5519864742
ALGERIA,ALGERIA,DemandPeakZone,2025,18557.0
ALGERIA,ALGERIA,DemandPeakZone,2026,19298.7669921695
ALGERIA,ALGERIA,DemandPeakZone,2027,20070.1841578946
ALGERIA,ALGERIA,DemandPeakZone,2028,20872.4366844393
ALGERIA,ALGERIA,DemandPeakZone,2029,21706.7571337934
ALGERIA,ALGERIA,DemandPeakZone,2030,22404.0
ALGERIA,ALGERIA,EmissionsIntensityZone,2020,3.842012808953868e-07
ALGERIA,ALGERIA,EmissionsIntensityZone,2021,3.857386883421695e-07
ALGERIA,ALGERIA,EmissionsIntensityZone,2022,3.872211481199912e-07
ALGERIA,ALGERIA,EmissionsIntensityZone,2023,3.119867317354518e-07
ALGERIA,ALGERIA,EmissionsIntensityZone,2024,2.434125447562528e-07
ALGERIA,ALGERIA,EmissionsIntensityZone,2025,1.820519760463534e-07
ALGERIA,ALGERIA,EmissionsIntensityZone,2026,1.267524717751518e-07
ALGERIA,ALGERIA,EmissionsIntensityZone,2027,8.007813853703929e-08
ALGERIA,ALGERIA,EmissionsIntensityZone,2028,9.044292557618441e-08
ALGERIA,ALGERIA,EmissionsIntensityZone,2029,1.0075205296443429e-07
ALGERIA,ALGERIA,EmissionsIntensityZone,2030,9.683156598491376e-08
ALGERIA,ALGERIA,EmissionsZone,2020,32.09776678276346
ALGERIA,ALGERIA,EmissionsZone,2021,33.576776429664854
ALGERIA,ALGERIA,EmissionsZone,2022,35.11839494705983
