c,z,attribute,y,uni,value
Angola,Angola,Costs,2024.0,Carbon costs: $m,0.0
Angola,Angola,Costs,2024.0,Excess generation: $m,0.0
Angola,Angola,Costs,2024.0,Export revenues with external zones: $m,0.0
Angola,Angola,Costs,2024.0,Export revenues with internal zones: $m,0.0
Angola,Angola,Costs,2024.0,Fixed O&M: $m,188.3435
Angola,Angola,Costs,2024.0,Fuel costs: $m,101.72003291838026
Angola,Angola,Costs,2024.0,Generation costs: $m,0.0
Angola,Angola,Costs,2024.0,Import costs with external zones: $m,0.0
Angola,Angola,Costs,2024.0,Import costs with internal zones: $m,0.0
Angola,Angola,Costs,2024.0,NPV of system cost: $m,0.0
Angola,Angola,Costs,2024.0,Spinning reserve costs: $m,0.0
Angola,Angola,Costs,2024.0,Startup costs: $m,0.0
Angola,Angola,Costs,2024.0,Trade shared benefits: $m,0.0
Angola,Angola,Costs,2024.0,Transmission costs: $m,0.0
Angola,Angola,Costs,2024.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2024.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola,Costs,2024.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola,Costs,2024.0,Unmet demand costs: $m,0.0
Angola,Angola,Costs,2024.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2024.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola,Costs,2024.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola,Costs,2024.0,VRE curtailment: $m,0.0
Angola,Angola,Costs,2024.0,Variable O&M: $m,11.274970224800017
Angola,Angola,Costs,2025.0,Carbon costs: $m,0.0
Angola,Angola,Costs,2025.0,Excess generation: $m,0.0
Angola,Angola,Costs,2025.0,Export revenues with external zones: $m,0.0
Angola,Angola,Costs,2025.0,Export revenues with internal zones: $m,0.0
Angola,Angola,Costs,2025.0,Fixed O&M: $m,188.6135
Angola,Angola,Costs,2025.0,Fuel costs: $m,134.07373256598015
Angola,Angola,Costs,2025.0,Generation costs: $m,0.0
Angola,Angola,Costs,2025.0,Import costs with external zones: $m,0.0
Angola,Angola,Costs,2025.0,Import costs with internal zones: $m,0.0
Angola,Angola,Costs,2025.0,NPV of system cost: $m,0.0
Angola,Angola,Costs,2025.0,Spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Startup costs: $m,0.0
Angola,Angola,Costs,2025.0,Trade shared benefits: $m,0.0
Angola,Angola,Costs,2025.0,Transmission costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet demand costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,VRE curtailment: $m,0.0
Angola,Angola,Costs,2025.0,Variable O&M: $m,12.271087104800005
Angola,Angola,Costs,2028.0,Carbon costs: $m,0.0
Angola,Angola,Costs,2028.0,Excess generation: $m,0.0
