c,z,attribute,y,uni,value
Angola,Angola,CongestionShare,2024,DRC,1.0
Angola,Angola,CongestionShare,2024,Namibia,1.0
Angola,Angola,CongestionShare,2024,Zambia,1.0
Angola,Angola,CongestionShare,2025,DRC,1.0
Angola,Angola,CongestionShare,2025,Namibia,1.0
Angola,Angola,CongestionShare,2025,Zambia,1.0
Angola,Angola,CongestionShare,2028,DRC,1.0
Angola,Angola,CongestionShare,2028,Namibia,1.0
Angola,Angola,CongestionShare,2028,Zambia,1.0
Angola,Angola,CongestionShare,2030,DRC,1.0
Angola,Angola,CongestionShare,2030,Zambia,1.0
Angola,Angola,CongestionShare,2032,DRC,1.0
Angola,Angola,CongestionShare,2032,Zambia,1.0
Angola,Angola,CongestionShare,2035,DRC,0.0384703196347031
Angola,Angola,CongestionShare,2035,Namibia,0.3202054794520548
Angola,Angola,CongestionShare,2035,Zambia,0.2520547945205479
Angola,Angola,CongestionShare,2038,DRC,0.1176940639269406
Angola,Angola,CongestionShare,2038,Namibia,0.2018264840182648
Angola,Angola,CongestionShare,2038,Zambia,0.3473744292237443
Angola,Angola,CongestionShare,2040,DRC,0.1920091324200913
Angola,Angola,CongestionShare,2040,Namibia,0.093607305936073
Angola,Angola,CongestionShare,2040,Zambia,0.1857305936073059
Angola,Angola,CongestionShare,2042,DRC,0.2861872146118721
Angola,Angola,CongestionShare,2042,Namibia,0.1125570776255707
Angola,Angola,CongestionShare,2042,Zambia,0.1410958904109589
Angola,Angola,Interchange,2035,DRC,1478.1342582072243
Angola,Angola,Interchange,2035,Namibia,1764.1945339944368
Angola,Angola,Interchange,2035,Zambia,235.97168781092316
Angola,Angola,Interchange,2038,DRC,1503.1281410898805
Angola,Angola,Interchange,2038,Namibia,1646.728764708656
Angola,Angola,Interchange,2038,Zambia,1056.733031136989
Angola,Angola,Interchange,2040,DRC,2288.1657024677784
Angola,Angola,Interchange,2040,Namibia,732.5136403390355
Angola,Angola,Interchange,2040,Zambia,846.8436106761794
Angola,Angola,Interchange,2042,DRC,2997.2997316537835
Angola,Angola,Interchange,2042,Namibia,961.5537665899716
Angola,Angola,Interchange,2042,Zambia,567.980959586413
Angola,Angola,InterconUtilization,2035,DRC,0.2287074551100348
Angola,Angola,InterconUtilization,2035,Namibia,0.4505376061256967
Angola,Angola,InterconUtilization,2035,Zambia,0.2520547945205485
Angola,Angola,InterconUtilization,2038,DRC,0.2287866272587337
Angola,Angola,InterconUtilization,2038,Namibia,0.3675561800238773
Angola,Angola,InterconUtilization,2038,Zambia,0.3674328155161092
Angola,Angola,InterconUtilization,2040,DRC,0.3482748405582615
Angola,Angola,InterconUtilization,2040,Namibia,0.1511523920677278
Angola,Angola,InterconUtilization,2040,Zambia,0.2427045393144988
Angola,Angola,InterconUtilization,2042,DRC,0.4562100048179274
Angola,Angola,InterconUtilization,2042,Namibia,0.1742323995415618
Angola,Angola,InterconUtilization,2042,Zambia,0.1627827799583408
Angola,Angola,NetImport,2035,DRC,-1.4781342582072243
Angola,Angola,NetImport,2035,Namibia,-1.764194533994437
Angola,Angola,NetImport,2035,Zambia,-0.2359716878109231
Angola,Angola,NetImport,2038,DRC,-1.5031281410898802
Angola,Angola,NetImport,2038,Namibia,-1.646728764708656
Angola,Angola,NetImport,2038,Zambia,-1.056733031136989
Angola,Angola,NetImport,2040,DRC,-2.2881657024677784
Angola,Angola,NetImport,2040,Namibia,-0.7325136403390355
Angola,Angola,NetImport,2040,Zambia,-0.8468436106761794
Angola,Angola,NetImport,2042,DRC,-2.997299731653784
Angola,Angola,NetImport,2042,Namibia,-0.9615537665899716
Angola,Angola,NetImport,2042,Zambia,-0.5679809595864129
Angola,Angola,NewTransmissionCapacity,2030,Namibia,447.0039067826503
Angola,Angola,NewTransmissionCapacity,2035,DRC,737.7843777999997
