c,z,attribute,y,uni,value
Angola,Angola,CapexInvestmentComponent,2027,Generation,6788192705.916
Angola,Angola,CapexInvestmentComponent,2028,Generation,118802040.0
Angola,Angola,CapexInvestmentComponent,2029,Generation,65964000.0
Angola,Angola,CapexInvestmentComponent,2029,Transmission,103000000.0
Angola,Angola,CapexInvestmentComponent,2030,Generation,80568000.0
Angola,Angola,CapexInvestmentComponent,2030,StorageEnergy,16195500.000000002
Angola,Angola,CapexInvestmentComponent,2031,Generation,79536000.0
Angola,Angola,CapexInvestmentComponent,2031,StorageEnergy,15989000.000000002
Angola,Angola,CapexInvestmentComponent,2032,Generation,78570000.0
Angola,Angola,CapexInvestmentComponent,2032,StorageEnergy,15782500.0
Angola,Angola,CapexInvestmentComponent,2033,Generation,494838000.0
Angola,Angola,CapexInvestmentComponent,2033,StorageEnergy,15576000.0
Angola,Angola,CapexInvestmentComponent,2033,Transmission,220684102.88218245
Angola,Angola,CapexInvestmentComponent,2034,Generation,115702000.0
Angola,Angola,CapexInvestmentComponent,2034,StorageEnergy,15369500.0
Angola,Angola,CapexInvestmentComponent,2034,Transmission,26120497.11781753
Angola,Angola,CapexInvestmentComponent,2035,Generation,75540000.0
Angola,Angola,CapexInvestmentComponent,2035,StorageEnergy,15163000.0
Angola,Angola,CapexInvestmentComponent,2036,Generation,79030400.0
Angola,Angola,CapexInvestmentComponent,2036,StorageEnergy,14956500.0
Angola,Angola,CapexInvestmentComponent,2036,Transmission,85000000.0
Angola,Angola,CapexInvestmentComponent,2037,Generation,73542000.0
Angola,Angola,CapexInvestmentComponent,2037,StorageEnergy,59692970.33858891
Angola,Angola,CapexInvestmentComponent,2038,Generation,72575000.0
Angola,Angola,CapexInvestmentComponent,2038,StorageEnergy,27201126.170312565
Angola,Angola,CapexInvestmentComponent,2039,Generation,71543000.0
Angola,Angola,CapexInvestmentComponent,2039,StorageEnergy,30811282.98757015
Angola,Angola,CapexInvestmentComponent,2040,Generation,70576000.0
Angola,Angola,CapexInvestmentComponent,2040,StorageEnergy,23627204.576919418
Angola,Angola,CapexInvestmentComponent,2041,Generation,69545000.0
Angola,Angola,CapexInvestmentComponent,2041,StorageEnergy,22902879.854448915
Angola,Angola,CapexInvestmentComponent,2042,Generation,561842506.8994341
Angola,Angola,CapexInvestmentComponent,2042,StorageEnergy,27499503.174895965
Angola,Angola,CapexInvestmentComponent,2043,Generation,656529311.5355864
Angola,Angola,CapexInvestmentComponent,2043,StorageEnergy,17896585.350473717
Angola,Angola,CapexInvestmentComponent,2044,Generation,66580000.0
Angola,Angola,CapexInvestmentComponent,2044,StorageEnergy,18272730.50437967
Angola,Angola,CapexInvestmentComponent,2045,Generation,2499148000.0
Angola,Angola,CapexInvestmentComponent,2045,StorageEnergy,18897323.18279039
Angola,Angola,CapexInvestmentComponent,2046,Generation,64517000.0
Angola,Angola,CapexInvestmentComponent,2046,StorageEnergy,6585000.0
Angola,Angola,CapexInvestmentComponent,2047,Generation,321168181.3549795
Angola,Angola,CapexInvestmentComponent,2047,StorageEnergy,20627773.659528863
Angola,Angola,CapexInvestmentComponent,2048,Generation,165636567.0928219
Angola,Angola,CapexInvestmentComponent,2048,StorageEnergy,10835994.179156637
Angola,Angola,CapexInvestmentComponent,2049,Generation,297046525.9591392
Angola,Angola,CapexInvestmentComponent,2049,StorageEnergy,6270000.0
Angola,Angola,CapexInvestmentComponent,2050,Generation,295813567.1040285
Angola,Angola,CapexInvestmentComponent,2050,StorageEnergy,9799169.159809535
Angola,Angola,CapexInvestmentComponent,2051,Generation,636863200.4
Angola,Angola,CapexInvestmentComponent,2051,StorageEnergy,36647632.76479108
Angola,Angola,CapexInvestmentComponent,2052,Generation,311909640.44401026
Angola,Angola,CapexInvestmentComponent,2052,StorageEnergy,107114117.91018064
Angola,Angola,CapexInvestmentComponent,2053,Generation,138831000.0
Angola,Angola,CapexInvestmentComponent,2053,StorageEnergy,276956413.02093405
Angola,Angola,CapexInvestmentComponent,2054,Generation,124463000.0
Angola,Angola,CapexInvestmentComponent,2054,StorageEnergy,190296215.7281241
Angola,Angola,CapexInvestmentComponent,2055,Generation,124463000.0
Angola,Angola,CapexInvestmentComponent,2055,StorageEnergy,178231200.0
Angola,Angola,CapexInvestmentComponentCumulated,2027,Generation,6788192705.916
Angola,Angola,CapexInvestmentComponentCumulated,2028,Generation,6906994745.916
Angola,Angola,CapexInvestmentComponentCumulated,2029,Generation,6972958745.916
Angola,Angola,CapexInvestmentComponentCumulated,2029,Transmission,103000000.0
Angola,Angola,CapexInvestmentComponentCumulated,2030,Generation,7053526745.916
Angola,Angola,CapexInvestmentComponentCumulated,2030,StorageEnergy,16195500.000000002
Angola,Angola,CapexInvestmentComponentCumulated,2031,Generation,7133062745.916
Angola,Angola,CapexInvestmentComponentCumulated,2031,StorageEnergy,32184500.000000004
Angola,Angola,CapexInvestmentComponentCumulated,2032,Generation,7211632745.916
Angola,Angola,CapexInvestmentComponentCumulated,2032,StorageEnergy,47967000.0
Angola,Angola,CapexInvestmentComponentCumulated,2033,Generation,7706470745.916
Angola,Angola,CapexInvestmentComponentCumulated,2033,StorageEnergy,63543000.0
Angola,Angola,CapexInvestmentComponentCumulated,2033,Transmission,323684102.8821825
Angola,Angola,CapexInvestmentComponentCumulated,2034,Generation,7822172745.916
Angola,Angola,CapexInvestmentComponentCumulated,2034,StorageEnergy,78912500.0
Angola,Angola,CapexInvestmentComponentCumulated,2034,Transmission,349804600.0
Angola,Angola,CapexInvestmentComponentCumulated,2035,Generation,7897712745.916
Angola,Angola,CapexInvestmentComponentCumulated,2035,StorageEnergy,94075500.0
Angola,Angola,CapexInvestmentComponentCumulated,2036,Generation,7976743145.916
Angola,Angola,CapexInvestmentComponentCumulated,2036,StorageEnergy,109032000.0
Angola,Angola,CapexInvestmentComponentCumulated,2036,Transmission,434804600.0
Angola,Angola,CapexInvestmentComponentCumulated,2037,Generation,8050285145.916
Angola,Angola,CapexInvestmentComponentCumulated,2037,StorageEnergy,168724970.3385889
Angola,Angola,CapexInvestmentComponentCumulated,2038,Generation,8122860145.916
Angola,Angola,CapexInvestmentComponentCumulated,2038,StorageEnergy,195926096.50890148
Angola,Angola,CapexInvestmentComponentCumulated,2039,Generation,8194403145.916
Angola,Angola,CapexInvestmentComponentCumulated,2039,StorageEnergy,226737379.4964716
Angola,Angola,CapexInvestmentComponentCumulated,2040,Generation,8264979145.916
Angola,Angola,CapexInvestmentComponentCumulated,2040,StorageEnergy,250364584.07339105
Angola,Angola,CapexInvestmentComponentCumulated,2041,Generation,8334524145.916
Angola,Angola,CapexInvestmentComponentCumulated,2041,StorageEnergy,273267463.92783993
Angola,Angola,CapexInvestmentComponentCumulated,2042,Generation,8896366652.815434
Angola,Angola,CapexInvestmentComponentCumulated,2042,StorageEnergy,300766967.10273594
Angola,Angola,CapexInvestmentComponentCumulated,2043,Generation,9552895964.35102
Angola,Angola,CapexInvestmentComponentCumulated,2043,StorageEnergy,318663552.45320964
Angola,Angola,CapexInvestmentComponentCumulated,2044,Generation,9619475964.35102
Angola,Angola,CapexInvestmentComponentCumulated,2044,StorageEnergy,336936282.9575893
Angola,Angola,CapexInvestmentComponentCumulated,2045,Generation,12118623964.35102
Angola,Angola,CapexInvestmentComponentCumulated,2045,StorageEnergy,355833606.1403797
Angola,Angola,CapexInvestmentComponentCumulated,2046,Generation,12183140964.35102
Angola,Angola,CapexInvestmentComponentCumulated,2046,StorageEnergy,362418606.1403797
Angola,Angola,CapexInvestmentComponentCumulated,2047,Generation,12504309145.706
Angola,Angola,CapexInvestmentComponentCumulated,2047,StorageEnergy,383046379.7999086
Angola,Angola,CapexInvestmentComponentCumulated,2048,Generation,12669945712.798822
Angola,Angola,CapexInvestmentComponentCumulated,2048,StorageEnergy,393882373.9790652
Angola,Angola,CapexInvestmentComponentCumulated,2049,Generation,12966992238.75796
