c,z,attribute,y,value
Angola,Angola,CapexInvestmentComponent,2027,6788192705.916
Angola,Angola,CapexInvestmentComponent,2028,118802040.0
Angola,Angola,CapexInvestmentComponent,2029,168964000.0
Angola,Angola,CapexInvestmentComponent,2030,96763500.0
Angola,Angola,CapexInvestmentComponent,2031,95525000.0
Angola,Angola,CapexInvestmentComponent,2032,94352500.0
Angola,Angola,CapexInvestmentComponent,2033,731098102.8821825
Angola,Angola,CapexInvestmentComponent,2034,157191997.11781752
Angola,Angola,CapexInvestmentComponent,2035,90703000.0
Angola,Angola,CapexInvestmentComponent,2036,178986900.0
Angola,Angola,CapexInvestmentComponent,2037,133234970.33858892
Angola,Angola,CapexInvestmentComponent,2038,99776126.17031255
Angola,Angola,CapexInvestmentComponent,2039,102354282.98757017
Angola,Angola,CapexInvestmentComponent,2040,94203204.57691942
Angola,Angola,CapexInvestmentComponent,2041,92447879.85444891
Angola,Angola,CapexInvestmentComponent,2042,589342010.0743301
Angola,Angola,CapexInvestmentComponent,2043,674425896.8860601
Angola,Angola,CapexInvestmentComponent,2044,84852730.50437967
Angola,Angola,CapexInvestmentComponent,2045,2518045323.1827903
Angola,Angola,CapexInvestmentComponent,2046,71102000.0
Angola,Angola,CapexInvestmentComponent,2047,341795955.0145084
Angola,Angola,CapexInvestmentComponent,2048,176472561.27197853
Angola,Angola,CapexInvestmentComponent,2049,303316525.9591392
Angola,Angola,CapexInvestmentComponent,2050,305612736.26383805
Angola,Angola,CapexInvestmentComponent,2051,673510833.1647911
Angola,Angola,CapexInvestmentComponent,2052,419023758.3541909
Angola,Angola,CapexInvestmentComponent,2053,415787413.0209341
Angola,Angola,CapexInvestmentComponent,2054,314759215.72812414
Angola,Angola,CapexInvestmentComponent,2055,302694200.0
Angola,Angola,CapexInvestmentComponentCumulated,2027,6788192705.916
Angola,Angola,CapexInvestmentComponentCumulated,2028,6906994745.916
Angola,Angola,CapexInvestmentComponentCumulated,2029,7075958745.916
Angola,Angola,CapexInvestmentComponentCumulated,2030,7069722245.916
Angola,Angola,CapexInvestmentComponentCumulated,2031,7165247245.916
Angola,Angola,CapexInvestmentComponentCumulated,2032,7259599745.916
Angola,Angola,CapexInvestmentComponentCumulated,2033,8093697848.7981825
Angola,Angola,CapexInvestmentComponentCumulated,2034,8250889845.916
Angola,Angola,CapexInvestmentComponentCumulated,2035,7991788245.916
Angola,Angola,CapexInvestmentComponentCumulated,2036,8520579745.916
Angola,Angola,CapexInvestmentComponentCumulated,2037,8219010116.254589
Angola,Angola,CapexInvestmentComponentCumulated,2038,8318786242.424902
Angola,Angola,CapexInvestmentComponentCumulated,2039,8421140525.412472
Angola,Angola,CapexInvestmentComponentCumulated,2040,8515343729.989391
Angola,Angola,CapexInvestmentComponentCumulated,2041,8607791609.84384
Angola,Angola,CapexInvestmentComponentCumulated,2042,9197133619.918167
Angola,Angola,CapexInvestmentComponentCumulated,2043,9871559516.80423
Angola,Angola,CapexInvestmentComponentCumulated,2044,9956412247.30861
Angola,Angola,CapexInvestmentComponentCumulated,2045,12474457570.4914
Angola,Angola,CapexInvestmentComponentCumulated,2046,12545559570.4914
Angola,Angola,CapexInvestmentComponentCumulated,2047,12887355525.505907
Angola,Angola,CapexInvestmentComponentCumulated,2048,13063828086.777887
Angola,Angola,CapexInvestmentComponentCumulated,2049,13367144612.737024
Angola,Angola,CapexInvestmentComponentCumulated,2050,13672757349.000864
Angola,Angola,CapexInvestmentComponentCumulated,2051,14346268182.165655
Angola,Angola,CapexInvestmentComponentCumulated,2052,14765291940.519846
Angola,Angola,CapexInvestmentComponentCumulated,2053,15181079353.54078
Angola,Angola,CapexInvestmentComponentCumulated,2054,15495838569.268904
Angola,Angola,CapexInvestmentComponentCumulated,2055,15798532769.268904
Angola,Angola,Costs,2025,398.8098600306445
Angola,Angola,Costs,2026,450.3215480011468
Angola,Angola,Costs,2027,306.72318614025
Angola,Angola,Costs,2028,310.13791641157496
Angola,Angola,Costs,2029,53.89637672637869
Angola,Angola,Costs,2030,82.2701349546814
Angola,Angola,Costs,2031,134.07789543295922
Angola,Angola,Costs,2032,155.8677216163338
Angola,Angola,Costs,2033,-27.0811194288012
Angola,Angola,Costs,2034,9.411163485265073
Angola,Angola,Costs,2035,228.77600872060108
Angola,Angola,Costs,2036,195.151265983438
Angola,Angola,Costs,2037,355.63460569728807
Angola,Angola,Costs,2038,376.787203055858
Angola,Angola,Costs,2039,413.8363232682295
Angola,Angola,Costs,2040,451.85781313085255
Angola,Angola,Costs,2041,505.92258341128496
Angola,Angola,Costs,2042,532.2350728794671
Angola,Angola,Costs,2043,565.1063087451444
Angola,Angola,Costs,2044,621.1606825960893
Angola,Angola,Costs,2045,361.5497028631616
Angola,Angola,Costs,2046,322.084299518139
Angola,Angola,Costs,2047,332.32877195532467
Angola,Angola,Costs,2048,394.6081933801103
Angola,Angola,Costs,2049,514.981393470867
Angola,Angola,Costs,2050,601.4106572053695
Angola,Angola,Costs,2051,691.7278397631629
Angola,Angola,Costs,2052,822.3388782800156
Angola,Angola,Costs,2053,-4686.421388588617
Angola,Angola,Costs,2054,-6341.6715611580685
Angola,Angola,Costs,2055,-5772.1806666351695
Angola,Angola,CostsPerMWh,2025,23.97000491971252
Angola,Angola,CostsPerMWh,2026,26.27628589560337
Angola,Angola,CostsPerMWh,2027,17.3315367401544
Angola,Angola,CostsPerMWh,2028,17.103618048610954
Angola,Angola,CostsPerMWh,2029,2.887685615885667
Angola,Angola,CostsPerMWh,2030,4.283573468583176
Angola,Angola,CostsPerMWh,2031,6.7920513462987735
Angola,Angola,CostsPerMWh,2032,7.674323457205995
Angola,Angola,CostsPerMWh,2033,-1.296008321821303
Angola,Angola,CostsPerMWh,2034,0.4378336543932084
Angola,Angola,CostsPerMWh,2035,10.34301562400758
Angola,Angola,CostsPerMWh,2036,8.575145966050647
Angola,Angola,CostsPerMWh,2037,15.18824552563555
Angola,Angola,CostsPerMWh,2038,15.639871695011724
Angola,Angola,CostsPerMWh,2039,16.69548712956237
Angola,Angola,CostsPerMWh,2040,17.71763419629536
Angola,Angola,CostsPerMWh,2041,19.280640066027303
Angola,Angola,CostsPerMWh,2042,19.71398028866961
Angola,Angola,CostsPerMWh,2043,20.343910201795698
Angola,Angola,CostsPerMWh,2044,21.734100937299168
Angola,Angola,CostsPerMWh,2045,12.295301326150772
Angola,Angola,CostsPerMWh,2046,10.64569867142002
Angola,Angola,CostsPerMWh,2047,10.675937031764114
Angola,Angola,CostsPerMWh,2048,12.32076306158358
Angola,Angola,CostsPerMWh,2049,15.62775132905417
Angola,Angola,CostsPerMWh,2050,17.73819889390239
Angola,Angola,CostsPerMWh,2051,19.82928715956384
Angola,Angola,CostsPerMWh,2052,22.911636838480806
Angola,Angola,CostsPerMWh,2053,-126.90539250523372
Angola,Angola,CostsPerMWh,2054,-166.90753096657946
Angola,Angola,CostsPerMWh,2055,-147.65411308495015
Angola,Angola,DemandEnergyZone,2025,16637.871430000007
Angola,Angola,DemandEnergyZone,2026,17137.945210000016
Angola,Angola,DemandEnergyZone,2027,17697.40276
Angola,Angola,DemandEnergyZone,2028,18132.88367000001
Angola,Angola,DemandEnergyZone,2029,18664.21207
Angola,Angola,DemandEnergyZone,2030,19205.958660000026
Angola,Angola,DemandEnergyZone,2031,19740.412520000016
Angola,Angola,DemandEnergyZone,2032,20310.288260000027
Angola,Angola,DemandEnergyZone,2033,20895.79130999998
Angola,Angola,DemandEnergyZone,2034,21494.838030000006
Angola,Angola,DemandEnergyZone,2035,22118.88844000004
Angola,Angola,DemandEnergyZone,2036,22757.777739999983
Angola,Angola,DemandEnergyZone,2037,23415.12093000002
Angola,Angola,DemandEnergyZone,2038,24091.45103
Angola,Angola,DemandEnergyZone,2039,24787.316480000016
Angola,Angola,DemandEnergyZone,2040,25503.281540000025
Angola,Angola,DemandEnergyZone,2041,26239.926770000035
Angola,Angola,DemandEnergyZone,2042,26997.84949999992
Angola,Angola,DemandEnergyZone,2043,27777.664330000043
Angola,Angola,DemandEnergyZone,2044,28580.0035799999
Angola,Angola,DemandEnergyZone,2045,29405.517870000025
Angola,Angola,DemandEnergyZone,2046,30254.87658999993
Angola,Angola,DemandEnergyZone,2047,31128.768459999992
Angola,Angola,DemandEnergyZone,2048,32027.902119999988
Angola,Angola,DemandEnergyZone,2049,32953.0066499999
Angola,Angola,DemandEnergyZone,2050,33904.83221000007
Angola,Angola,DemandEnergyZone,2051,34884.15060999994
Angola,Angola,DemandEnergyZone,2052,35891.75597000001
Angola,Angola,DemandEnergyZone,2053,36928.46533999999
